name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"New York City, NY",2016-01-01T00:00:00,5.8,3.5,-2.7,54.08,0.0,0,,0.0,0.0,15.5,11.1,316.0,1018.6,100.0,16.0,0.0,0.0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City, NY",2016-01-01T01:00:00,5.8,3.0,-3.1,53.01,0.0,0,,0.0,0.0,15.1,13.0,304.0,1018.0,100.0,16.0,0.0,0.0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City, NY",2016-01-01T02:00:00,5.4,2.7,-3.0,54.71,0.0,0,,0.0,0.0,19.4,12.1,295.0,1017.9,100.0,16.0,0.0,0.0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City, NY",2016-01-01T03:00:00,5.1,2.4,-2.9,56.04,0.0,0,,0.0,0.0,19.4,12.2,290.0,1017.8,100.0,16.0,0.0,0.0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City, NY",2016-01-01T04:00:00,5.1,1.7,-3.0,55.7,0.0,0,,0.0,0.0,18.7,16.6,281.0,1017.8,100.0,16.0,0.0,0.0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City, NY",2016-01-01T05:00:00,4.5,0.7,-2.9,58.9,0.0,0,,0.0,0.0,25.9,18.4,267.0,1017.1,98.2,16.0,0.0,0.0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City, NY",2016-01-01T06:00:00,4.5,1.2,-3.0,58.45,0.0,0,,0.0,0.0,20.2,14.8,278.0,1017.6,98.2,16.0,0.0,0.0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City, NY",2016-01-01T07:00:00,4.1,2.3,-3.0,59.7,0.0,0,,0.0,0.0,20.2,7.3,318.0,1017.8,97.5,16.0,0.0,0.0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City, NY",2016-01-01T08:00:00,4.1,1.1,-3.5,57.57,0.0,0,,0.0,0.0,20.5,12.7,277.0,1017.7,100.0,16.0,13.0,0.0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City, NY",2016-01-01T09:00:00,4.0,0.8,-3.9,56.36,0.0,0,,0.0,0.0,22.7,13.2,267.0,1018.1,52.6,16.0,116.2,0.4,1,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City, NY",2016-01-01T10:00:00,4.4,1.8,-3.7,55.75,0.0,0,,0.0,0.0,31.7,10.6,280.0,1018.1,100.0,16.0,245.9,0.9,2,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City, NY",2016-01-01T11:00:00,4.6,1.4,-4.2,53.05,0.0,0,,0.0,0.0,30.8,14.0,282.0,1017.5,98.2,16.0,354.9,1.3,4,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City, NY",2016-01-01T12:00:00,4.7,1.1,-4.4,51.41,0.0,0,,0.0,0.0,31.7,17.7,274.0,1016.5,95.7,16.0,422.5,1.5,4,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City, NY",2016-01-01T13:00:00,4.6,0.2,-4.5,51.8,0.0,0,,0.0,0.0,33.1,22.9,278.0,1015.5,100.0,16.0,447.0,1.6,4,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City, NY",2016-01-01T14:00:00,4.5,0.8,-4.5,52.17,0.0,0,,0.0,0.0,36.2,17.4,278.0,1015.0,100.0,16.0,356.7,1.3,4,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City, NY",2016-01-01T15:00:00,4.0,-0.5,-5.3,50.71,0.0,0,,0.0,0.0,44.0,22.4,285.0,1015.1,95.7,16.0,217.9,0.8,2,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City, NY",2016-01-01T16:00:00,4.0,-0.6,-6.3,47.28,0.0,0,,0.0,0.0,39.4,23.4,283.0,1015.1,92.6,16.0,70.1,0.3,1,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
"New York City, NY",2016-01-01T17:00:00,3.6,-0.5,-6.5,47.76,0.0,0,,0.0,0.0,30.6,18.7,271.0,1015.0,25.4,16.0,8.2,0.0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
